"Category","Average Minimum Surface Air Temperature (°C)","Average Mean Surface Air Temperature (°C)","Average Maximum Surface Air Temperature (°C)","Precipitation (mm)"
"Jan",21.26,26.05,30.88,235.22
"Feb",21.19,25.97,30.81,225.64
"Mar",21.16,25.85,30.59,241.2
"Apr",20.72,25.54,30.41,188.21
"May",19.6,24.65,29.75,134.97
"Jun",18.38,23.95,29.57,84.51
"Jul",17.8,23.86,29.97,66
"Aug",18.56,24.87,31.22,53.24
"Sep",19.84,25.86,31.94,73.22
"Oct",20.84,26.49,32.2,117.12
"Nov",21.06,26.23,31.44,159.69
"Dec",21.27,26.21,31.21,199.23
