"","year","measles_cases_pct","measles_deaths_pct","mortality_reduction_pct","deaths_averted","incidence","region"
"1",2010,72,36,5,30,232,"African"
"2",2016,68,34,22,49,37,"African"
"3",2019,70,30,33,34,560,"African"
"4",2020,69,19,40,30,106,"African"
"5",2021,68,23,41,34,83,"African"
"6",2010,93,74,67,100,0.3,"Americas"
"7",2016,92,66,80,97,0.1,"Americas"
"8",2019,87,69,72,89,32,"Americas"
"9",2020,85,43,72,97,10,"Americas"
"10",2021,84,31,75,97,0.7,"Americas"
"11",2010,76,62,52,38,17,"Eastern Mediterranean"
"12",2016,82,57,73,52,10,"Eastern Mediterranean"
"13",2019,83,52,76,38,26,"Eastern Mediterranean"
"14",2020,83,48,77,48,10,"Eastern Mediterranean"
"15",2021,82,48,77,52,40,"Eastern Mediterranean"
"16",2010,94,83,80,68,34,"European"
"17",2016,93,81,88,77,5,"European"
"18",2019,96,85,92,30,117,"European"
"19",2020,94,77,91,70,14,"European"
"20",2021,94,70,91,91,0.1,"European"
"21",2010,83,45,15,36,30,"South-East Asia"
"22",2016,89,64,75,27,14,"South-East Asia"
"23",2019,94,73,83,27,15,"South-East Asia"
"24",2020,88,64,80,45,5,"South-East Asia"
"25",2021,86,55,78,55,3,"South-East Asia"
"26",2010,97,63,87,63,28,"Western Pacific"
"27",2016,96,63,93,48,31,"Western Pacific"
"28",2019,95,70,93,41,41,"Western Pacific"
"29",2020,94,63,94,37,4,"Western Pacific"
"30",2021,91,59,91,48,0.6,"Western Pacific"
