"","CODE","YEAR","ANTIGEN","TARGET_NUMBER","DOSES","COVERAGE"
"1","AFR",2024,"MCV1",39245277,27701214,71
"2","AFR",2024,"MCV2",37175318,20476828,55
"3","EMR",2024,"MCV1",19300035,15372331,80
"4","EMR",2024,"MCV2",18611380,13904752,75
"5","EUR",2024,"MCV1",9550661,8991380,94
"6","EUR",2024,"MCV2",10689279,9675943,91
"7","AMR",2024,"MCV1",13161207,11567299,88
"8","AMR",2024,"MCV2",13612312,10444187,77
"9","SEAR",2024,"MCV1",28835709,27692601,96
"10","SEAR",2024,"MCV2",28728317,26266507,91
"11","WPR",2024,"MCV1",19053084,17204724,90
"12","WPR",2024,"MCV2",20427683,18046364,88
"13","AFR",2023,"MCV1",38701573,26972220,70
"14","AFR",2023,"MCV2",36620135,17670450,48
"15","EMR",2023,"MCV1",19171947,15250771,80
"16","EMR",2023,"MCV2",18508724,13543450,73
"17","EUR",2023,"MCV1",9657375,9113971,94
"18","EUR",2023,"MCV2",11004943,10008630,91
"19","AMR",2023,"MCV1",13203490,11297378,86
"20","AMR",2023,"MCV2",13834807,10439715,75
"21","SEAR",2023,"MCV1",28902880,26840791,93
"22","SEAR",2023,"MCV2",28780517,25821055,90
"23","WPR",2023,"MCV1",19173308,16984077,89
"24","WPR",2023,"MCV2",21802569,18620229,85
"25","AFR",2022,"MCV1",38131422,25615522,67
"26","AFR",2022,"MCV2",36072840,15391666,43
"27","EMR",2022,"MCV1",18923862,15448181,82
"28","EMR",2022,"MCV2",18437053,13899317,75
"29","EUR",2022,"MCV1",9850525,9270270,94
"30","EUR",2022,"MCV2",11284611,10317198,91
"31","AMR",2022,"MCV1",13372005,11272736,84
"32","AMR",2022,"MCV2",14078088,10766031,76
"33","SEAR",2022,"MCV1",28967831,27356569,94
"34","SEAR",2022,"MCV2",29109754,26081207,90
"35","WPR",2022,"MCV1",19836248,18451056,93
"36","WPR",2022,"MCV2",24200725,21245193,88
"37","AFR",2021,"MCV1",37623757,25550918,68
"38","AFR",2021,"MCV2",35611552,13771025,39
"39","EMR",2021,"MCV1",18761179,15033984,80
"40","EMR",2021,"MCV2",18420032,13800892,75
"41","EUR",2021,"MCV1",10335058,9776275,95
"42","EUR",2021,"MCV2",11468782,10528681,92
"43","AMR",2021,"MCV1",13417666,11457687,85
"44","AMR",2021,"MCV2",14435191,11048452,77
"45","SEAR",2021,"MCV1",28933283,25704061,89
"46","SEAR",2021,"MCV2",29600932,24432865,83
"47","WPR",2021,"MCV1",20914318,18362551,88
"48","WPR",2021,"MCV2",26257266,22204790,85
"49","AFR",2020,"MCV1",37055851,25798476,70
